client;vehicle;date;paidInFull
SLE32;VHC2;2019-11-18;FALSO
SLE38;VHC86;2019-02-20;FALSO
SLE16;VHC109;2019-06-16;VERDADERO
SLE12;VHC102;2019-12-01;FALSO
SLE26;VHC177;2019-08-20;FALSO
SLE26;VHC149;2019-03-23;FALSO
SLE5;VHC83;2019-01-01;VERDADERO
SLE26;VHC92;2019-01-10;FALSO
SLE28;VHC121;2019-08-07;FALSO
SLE14;VHC36;2019-03-19;VERDADERO
SLE28;VHC182;2019-02-26;VERDADERO
SLE35;VHC92;2019-11-01;FALSO
SLE45;VHC93;2019-08-16;VERDADERO
SLE18;VHC140;2019-04-14;FALSO
SLE7;VHC22;2019-06-03;VERDADERO
SLE24;VHC37;2019-08-07;VERDADERO
SLE3;VHC52;2019-10-19;VERDADERO
SLE9;VHC128;2019-08-21;VERDADERO
SLE11;VHC70;2019-09-28;FALSO
SLE27;VHC190;2019-12-29;FALSO
SLE39;VHC185;2019-11-22;FALSO
SLE36;VHC199;2019-05-25;VERDADERO
SLE9;VHC113;2019-02-03;FALSO
SLE7;VHC130;2019-01-21;FALSO
SLE33;VHC89;2019-04-16;FALSO
SLE1;VHC184;2019-04-01;VERDADERO
SLE38;VHC147;2019-01-06;FALSO
SLE18;VHC186;2019-05-19;FALSO
SLE11;VHC16;2019-02-06;VERDADERO
SLE38;VHC102;2019-08-10;FALSO
SLE36;VHC23;2019-02-02;FALSO
SLE35;VHC151;2019-03-04;VERDADERO
SLE18;VHC123;2019-06-27;VERDADERO
SLE20;VHC96;2019-01-13;VERDADERO
SLE4;VHC69;2019-04-07;VERDADERO
SLE16;VHC93;2019-05-07;VERDADERO
SLE12;VHC193;2019-03-14;FALSO
SLE23;VHC120;2019-09-22;FALSO
SLE23;VHC124;2019-04-23;VERDADERO
SLE20;VHC9;2019-09-21;FALSO
SLE45;VHC137;2019-03-18;FALSO
SLE23;VHC82;2019-06-27;VERDADERO
SLE26;VHC29;2019-04-27;VERDADERO
SLE7;VHC6;2019-05-20;FALSO
SLE18;VHC3;2019-04-20;FALSO
SLE15;VHC163;2019-10-24;FALSO
SLE32;VHC25;2019-01-17;VERDADERO
SLE14;VHC34;2019-11-06;VERDADERO
SLE16;VHC121;2019-11-05;VERDADERO
